case_id,size
CP_00_08181425_00087,67
CP_00_08181843_00088,52
CP_00_08181928_00093,49
CP_00_08190213_00156,48
CP_00_08190531_00091,50
CP_00_08191320_00091,121
CP_00_08191834_00087,108
CP_00_08191840_00091,66
CP_00_08191905_00093,55
CP_00_08192106_00090,129
CP_00_08192132_00074,60
CP_00_08200310_00092,70
CP_00_08201202_00090,49
CP_00_08201359_00117,49
CP_00_08201406_00092,61
CP_00_08201537_00090,59
CP_00_08201710_00087,69
CP_00_08201846_00023,69
CP_00_08201952_00088,69
CP_00_08210017_00087,71
CP_00_08210610_00093,49
CP_00_08211529_00093,49
CP_00_08220804_00093,67
CP_00_08220939_00087,52
CP_00_08221329_00090,74
CP_00_08221438_00092,49
CP_00_08221618_00093,82
CP_00_08221851_00092,71
CP_00_08242221_00088,58
CP_00_08251450_00092,53
CP_00_08251535_00093,49
CP_00_08260338_00090,47
CP_00_08260421_00092,53
CP_00_08261459_00091,52
CP_00_08261540_00075,50
CP_00_08270102_00045,61
CP_00_08270340_00088,93
CP_00_08271441_00090,47
CP_00_08272156_00093,49
CP_00_08272355_00077,84
CP_00_08280027_00090,48
CP_00_08280656_00087,95
CP_00_08282121_00087,78
CP_00_08290308_00088,66
CP_00_08291223_00092,49
CP_00_08302203_00088,69
CP_00_08310303_00091,56
CP_00_08310938_00088,91
CP_00_08311516_00087,82
CP_00_08311629_00090,47
CP_00_08311723_00092,54
CP_00_08312005_00093,49
CP_00_09010652_00090,47
CP_00_09011207_00093,50
CP_00_09011355_00092,48
CP_00_09011414_00092,48
CP_00_09011506_00092,67
CP_00_09011610_00093,49
CP_00_09011648_00090,47
CP_00_09031433_00150,50
CP_00_09031626_00092,49
CP_00_09032331_00090,47
CP_00_09052152_00092,48
CP_00_09060226_00092,48
CP_00_09061235_00092,49
CP_00_09100006_00091,54
CP_00_09100541_00091,90
CP_00_09101753_00092,53
CP_00_09161727_00093,98
CP_00_09170708_00092,54
CP_00_09191807_00093,49
CP_00_09192235_00091,63
CP_00_09200346_00087,52
CP_00_09200753_00090,48
CP_00_09241423_00088,53
CP_00_09250144_00091,77
CP_00_09250943_00091,50
CP_00_09251028_00087,51
CP_00_09261615_00097,58
CP_00_09290751_00093,57
CP_00_09291207_00090,47
CP_00_09300332_00090,48
CP_00_10011049_00088,53
CP_00_10011845_00087,52
CP_00_10020837_00090,48
CP_00_10032145_00150,51
CP_00_10071756_00093,49
CP_00_10221221_00093,50
CP_00_10251936_00093,49
CP_00_10260158_00090,48
CP_00_10260337_00093,75
CP_00_10260722_00087,52
CP_01_05171710_00001,98
CP_01_05281826_00001,49
CP_01_06070316_00001,49
CP_01_06101450_00001,86
CP_01_06211824_00001,62
CP_01_06231923_00001,80
CP_01_06251506_00001,49
CP_01_06252006_00001,62
CP_01_06261415_00001,45
CP_01_06280022_00001,99
CP_01_06281227_00001,70
CP_01_06300430_00001,51
CP_01_06301630_00001,47
CP_01_07011914_00001,134
CP_01_07040402_00001,84
CP_01_07061806_00001,52
CP_01_07090435_00001,49
CP_01_07120834_00001,152
CP_01_07132242_00001,49
CP_01_07140021_00001,58
CP_01_07142111_00001,51
CP_01_07150234_00001,106
CP_01_07161413_00001,47
CP_01_07181824_00001,49
CP_01_07182005_00001,56
CP_01_07202028_00001,145
CP_01_07231908_00001,60
CP_01_07271554_00001,94
CP_01_07291341_00001,60
CP_01_08062244_00001,97
CP_01_08070617_00001,48
CP_01_08092015_00001,96
CP_01_08111925_00001,101
CP_01_08120710_00001,85
CP_01_08140134_00001,49
CP_01_08152022_00001,69
CP_01_08161336_00001,65
CP_01_08180913_00001,66
CP_01_08181314_00001,57
CP_01_09062008_00001,49
CP_01_09071830_00001,64
CP_01_09111714_00001,49
CP_01_09260116_00001,84
CP_01_09282353_00001,49
CP_02_03022055_00110,50
CP_02_03090842_00110,106
CP_02_03221527_00111,73
CP_02_03221910_00100,49
CP_02_03261416_00110,50
CP_02_03261817_00107,45
CP_02_03271530_00104,126
CP_02_03271733_00109,94
CP_02_03272041_00111,59
CP_02_03272204_00107,94
CP_02_03281908_00110,49
CP_02_03282254_00111,49
CP_02_03291434_00109,68
CP_02_03291617_00107,87
CP_02_04020259_00109,53
CP_02_04032050_00111,49
CP_02_04040217_00111,49
CP_02_04040256_00110,49
CP_02_04040305_00111,101
CP_02_04041043_00110,49
CP_02_04070821_00111,49
CP_02_04081417_00109,49
CP_02_04081817_00111,49
CP_02_04081921_00109,49
CP_02_04081938_00111,49
CP_02_04081959_00107,50
CP_02_04091015_00111,49
