case_id,min,max,length,unnormal_indices
CP_00_07071525_00092,-28630.0,570.0,52,
CP_00_07071607_00091,-28665.0,645.0,64,
CP_00_07071618_00088,-28665.0,680.0,51,
CP_00_07071730_00092,-300.0,620.0,52,
CP_00_07072110_00090,-28665.0,675.0,63,
CP_00_07081236_00090,-28665.0,640.0,47,
CP_00_07081247_00092,-28645.0,635.0,50,
CP_00_07081748_00092,-300.0,570.0,49,
CP_00_07081750_00097,-300.0,620.0,50,
CP_00_07081927_00088,-300.0,600.0,71,
CP_00_07090157_00090,-300.0,620.0,53,
CP_00_07090504_00087,-90.0,630.0,71,
CP_00_07091352_00088,-290.0,640.0,92,
CP_00_07091425_00091,-290.0,560.0,77,
CP_00_07091507_00093,-300.0,620.0,49,
CP_00_07091813_00088,-300.0,640.0,95,
CP_00_07091823_00090,-300.0,640.0,98,
CP_00_07092339_00090,-300.0,620.0,115,
CP_00_07100325_00093,-300.0,520.0,86,
CP_00_07100542_00092,-300.0,550.0,78,
CP_00_07101919_00094,-28665.0,615.0,49,
CP_00_07110514_00090,-28665.0,695.0,73,
CP_00_07110757_00087,-28650.0,585.0,90,
CP_00_07110817_00023,-28665.0,625.0,127,
CP_00_07110856_00088,-28655.0,585.0,70,
CP_00_07111251_00091,-220.0,510.0,55,
CP_00_07111404_00093,-300.0,590.0,49,
CP_00_07111803_00092,-300.0,560.0,49,
CP_00_07112051_00090,-28665.0,640.0,79,
CP_00_07112350_00091,-28665.0,525.0,71,
CP_00_07120129_00074,-28665.0,675.0,91,
CP_00_07121304_00023,-285.0,585.0,53,
CP_00_07121623_00090,-28665.0,595.0,47,
CP_00_07121636_00092,-28590.0,560.0,48,
CP_00_07130006_00092,-28665.0,545.0,100,
CP_00_07130145_00088,-300.0,650.0,77,
CP_00_07130214_00093,-28665.0,665.0,49,
CP_00_07130505_00087,-300.0,630.0,52,
CP_00_07131406_00097,-270.0,630.0,49,
CP_00_07131616_00092,-300.0,590.0,49,
CP_00_07131637_00093,-290.0,890.0,49,
CP_00_07140550_00093,-290.0,540.0,49,
CP_00_07140656_00090,-280.0,690.0,89,
CP_00_07141603_00088,-300.0,700.0,58,
CP_00_07141614_00087,-300.0,670.0,77,
CP_00_07141853_00092,-300.0,610.0,62,
CP_00_07150458_00091,-210.0,580.0,52,
CP_00_07150614_00094,-28665.0,690.0,96,
CP_00_07151028_00088,-280.0,610.0,52,
CP_00_07151316_00091,-190.0,670.0,67,
CP_00_07151435_00150,-300.0,600.0,67,
CP_00_07151635_00156,-300.0,620.0,49,
CP_00_07151702_00092,-28665.0,645.0,53,
CP_00_07151824_00092,-300.0,620.0,52,
CP_00_07151859_00088,-280.0,710.0,56,
CP_00_07160320_00092,-300.0,550.0,49,
CP_00_07160728_00094,-28665.0,585.0,50,
CP_00_07161314_00093,-28665.0,560.0,49,
CP_00_07170452_00094,-28665.0,650.0,75,
CP_00_07170502_00087,-28665.0,635.0,94,
CP_00_07170938_00088,-28665.0,580.0,91,
CP_00_07171113_00150,-28665.0,515.0,65,
CP_00_07171346_00090,-28665.0,630.0,48,
CP_00_07171741_00117,-28665.0,590.0,46,
CP_00_07171912_00088,-28665.0,625.0,51,
CP_00_07171949_00087,-28665.0,600.0,57,
CP_00_07172153_00087,-28665.0,625.0,396,
CP_00_07180028_00091,-28665.0,575.0,126,
CP_00_07181232_00090,-28665.0,655.0,83,
CP_00_07181532_00092,-300.0,670.0,49,
CP_00_07181542_00093,-300.0,620.0,49,
CP_00_07181940_00093,-28665.0,630.0,49,
CP_00_07182256_00090,-28665.0,640.0,47,
CP_00_07190109_00088,-28665.0,720.0,118,
